Ticket #,Pay Station,Stall #,License Plate,Purchased Date,Expiry Date,Payment Type,Trans Type,Coupon Code,Excess Payment,Change Issued,Refund Ticket,Total Collections,Revenue,Rate Name,Location Name
767131580,"=""Honkmobile""",,"=""CUH0946""",04/01/2026 00:00:30 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$10.00,$10.00,Third Party,Zone 8
767132180,"=""Honkmobile""",,"=""RR605W""",04/01/2026 00:32:58 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767133290,"=""Honkmobile""",,"=""TR603H""",04/01/2026 02:18:28 PDT,04/03/2026 02:18:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$28.00,$28.00,Third Party,Zone 3
767132520,"=""Honkmobile""",,"=""TT629T""",04/01/2026 03:28:01 PDT,04/02/2026 03:28:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$14.00,$14.00,Third Party,Zone 3
767246090,"=""Honkmobile""",,"=""ME029X""",04/01/2026 06:19:47 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 1
767277680,"=""Honkmobile""",,"=""RE630G""",04/01/2026 06:46:38 PDT,04/01/2026 09:46:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$6.00,$6.00,Third Party,Zone 1
50399016,"=""OffStreet""",,"=""JV724N""",04/01/2026 06:47:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 6
50399037,"=""OffStreet""",,"=""JV724N""",04/01/2026 06:47:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 8
50399030,"=""OffStreet""",,"=""JV724N""",04/01/2026 06:47:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 2
50399019,"=""OffStreet""",,"=""JV724N""",04/01/2026 06:47:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 4
50399025,"=""OffStreet""",,"=""JV724N""",04/01/2026 06:47:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 11
50399040,"=""OffStreet""",,"=""JV724N""",04/01/2026 06:47:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 12
50399028,"=""OffStreet""",,"=""JV724N""",04/01/2026 06:47:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 7
50399022,"=""OffStreet""",,"=""JV724N""",04/01/2026 06:47:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 1
50399034,"=""OffStreet""",,"=""JV724N""",04/01/2026 06:47:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 9
767288170,"=""Honkmobile""",,"=""WG9476""",04/01/2026 06:53:43 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 2
00038609,"=""UNC Mackay""",,"=""WP2738""",04/01/2026 06:54:49 PDT,04/01/2026 23:59:11 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767292630,"=""Honkmobile""",,"=""TX255G""",04/01/2026 06:56:38 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 2
767293870,"=""Honkmobile""",,"=""345TCK""",04/01/2026 06:57:30 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 1
767294910,"=""Honkmobile""",,"=""WD8187""",04/01/2026 06:58:09 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 2
767297740,"=""Honkmobile""",,"=""RH924A""",04/01/2026 07:00:04 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 1
767299020,"=""Honkmobile""",,"=""HL830M""",04/01/2026 07:00:35 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$10.00,$10.00,Third Party,Zone 8
767310260,"=""Honkmobile""",,"=""TX234G""",04/01/2026 07:09:51 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767317370,"=""Honkmobile""",,"=""BR331R""",04/01/2026 07:16:03 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$7.00,$7.00,Third Party,Zone 12
767318430,"=""Honkmobile""",,"=""XK357V""",04/01/2026 07:16:50 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 2
767320880,"=""Honkmobile""",,"=""TN187N""",04/01/2026 07:19:09 PDT,04/01/2026 07:34:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 5
767322470,"=""Honkmobile""",,"=""VT337L""",04/01/2026 07:20:19 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 9
767328830,"=""Honkmobile""",,"=""XP678D""",04/01/2026 07:25:45 PDT,04/01/2026 08:40:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$2.50,$2.50,Third Party,Zone 5
50404825,"=""OffStreet""",,"=""A904FZ""",04/01/2026 07:26:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 6
50404837,"=""OffStreet""",,"=""A904FZ""",04/01/2026 07:26:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 7
50404844,"=""OffStreet""",,"=""A904FZ""",04/01/2026 07:26:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 9
50404846,"=""OffStreet""",,"=""A904FZ""",04/01/2026 07:26:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 8
50404839,"=""OffStreet""",,"=""A904FZ""",04/01/2026 07:26:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 2
50404849,"=""OffStreet""",,"=""A904FZ""",04/01/2026 07:26:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 12
50404827,"=""OffStreet""",,"=""A904FZ""",04/01/2026 07:26:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 4
50404834,"=""OffStreet""",,"=""A904FZ""",04/01/2026 07:26:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 11
50404831,"=""OffStreet""",,"=""A904FZ""",04/01/2026 07:26:00 PDT,04/01/2026 23:59:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,OFFSTREET-GR,Zone 1
00038610,"=""UNC Mackay""",,"=""RT553J""",04/01/2026 07:26:14 PDT,04/01/2026 09:26:14 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 10
767329740,"=""Honkmobile""",,"=""PK120P""",04/01/2026 07:26:20 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 1
767331520,"=""Honkmobile""",,"=""XK056T""",04/01/2026 07:27:37 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 7
767332710,"=""Honkmobile""",,"=""LM314T""",04/01/2026 07:28:41 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 4
767333890,"=""Honkmobile""",,"=""979MMC""",04/01/2026 07:29:39 PDT,04/01/2026 07:44:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 5
767335150,"=""Honkmobile""",,"=""A080DR""",04/01/2026 07:30:28 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767336260,"=""Honkmobile""",,"=""RR058P""",04/01/2026 07:31:12 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767336990,"=""Honkmobile""",,"=""KR620L""",04/01/2026 07:31:59 PDT,04/01/2026 09:46:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 10
00038611,"=""UNC Mackay""",,"=""PF349X""",04/01/2026 07:34:09 PDT,04/01/2026 23:59:19 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767341450,"=""Honkmobile""",,"=""WX964W""",04/01/2026 07:34:45 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767340400,"=""Honkmobile""",,"=""PS226J""",04/01/2026 07:34:49 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767341930,"=""Honkmobile""",,"=""GK373L""",04/01/2026 07:36:10 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767344990,"=""Honkmobile""",,"=""A685FH""",04/01/2026 07:38:43 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767345660,"=""Honkmobile""",,"=""XK387S""",04/01/2026 07:39:16 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$7.00,$7.00,Third Party,Zone 12
767347380,"=""Honkmobile""",,"=""LH767T""",04/01/2026 07:40:36 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767347780,"=""Honkmobile""",,"=""XW380T""",04/01/2026 07:41:01 PDT,04/01/2026 09:56:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
00038612,"=""UNC Mackay""",,"=""RW883E""",04/01/2026 07:41:15 PDT,04/01/2026 23:59:14 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767348370,"=""Honkmobile""",,"=""WR3943""",04/01/2026 07:41:22 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767350290,"=""Honkmobile""",,"=""XP308A""",04/01/2026 07:42:48 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767350510,"=""Honkmobile""",,"=""TR655B""",04/01/2026 07:43:09 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767350740,"=""Honkmobile""",,"=""BLS1424""",04/01/2026 07:43:09 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
00038613,"=""UNC Mackay""",,"=""DF886F""",04/01/2026 07:44:18 PDT,04/01/2026 23:59:27 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767352070,"=""Honkmobile""",,"=""XN765W""",04/01/2026 07:44:19 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 9
767352250,"=""Honkmobile""",,"=""VH916T""",04/01/2026 07:44:30 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767352240,"=""Honkmobile""",,"=""PH699A""",04/01/2026 07:44:31 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$7.00,$7.00,Third Party,Zone 12
767352650,"=""Honkmobile""",,"=""NS992C""",04/01/2026 07:44:51 PDT,04/01/2026 23:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,Third Party,Zone 2
767352830,"=""Honkmobile""",,"=""CJF6064""",04/01/2026 07:45:02 PDT,04/02/2026 00:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$8.00,$8.00,Third Party,Zone 1
767353100,"=""Honkmobile""",,"=""NS118C""",04/01/2026 07:45:15 PDT,04/01/2026 10:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
00038614,"=""UNC Mackay""",,"=""HW3664""",04/01/2026 07:45:28 PDT,04/01/2026 10:45:28 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$6.00,$6.00,Third Party,Zone 1
767353670,"=""Honkmobile""",,"=""WK328N""",04/01/2026 07:45:37 PDT,04/01/2026 10:00:00 PDT,CC (External),Regular,N/A,$0.00,$0.00,$0.00,$4.50,$4.50,Third Party,Zone 5
